id,car_type,fault,description,solution,category,difficulty
22,كيا سيراتو,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع ميتسوبيشي لانسر.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
23,ميتسوبيشي لانسر,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع شيفروليه أوبترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
24,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع بيجو 301.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
25,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
26,كيا سيراتو,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع هيونداي إلنترا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
27,رينو لوجان,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
28,سكودا أوكتافيا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع تويوتا كورولا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
29,كيا سيراتو,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
30,تويوتا كورولا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
31,هيونداي إلنترا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع رينو لوجان.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
32,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
33,كيا سيراتو,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع رينو لوجان.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
34,سكودا أوكتافيا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع شيفروليه أوبترا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
35,ميتسوبيشي لانسر,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع شيفروليه أوبترا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
36,كيا سيراتو,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
37,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع شيفروليه أوبترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
38,رينو لوجان,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع ميتسوبيشي لانسر.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
39,هيونداي إلنترا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع فورد فوكس.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
40,سكودا أوكتافيا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع رينو لوجان.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
41,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع تويوتا كورولا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
42,سكودا أوكتافيا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
43,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع ميتسوبيشي لانسر.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
44,تويوتا كورولا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع هيونداي إلنترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
45,رينو لوجان,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع كيا سيراتو.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
46,هيونداي إلنترا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
47,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
48,هيونداي إلنترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع تويوتا كورولا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
49,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع سكودا أوكتافيا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
50,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع فورد فوكس.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
51,شيفروليه أوبترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع رينو لوجان.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
52,تويوتا كورولا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع شيفروليه أوبترا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
53,نيسان صني,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع هيونداي إلنترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
54,سكودا أوكتافيا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع فورد فوكس.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
55,هيونداي إلنترا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع كيا سيراتو.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
56,سكودا أوكتافيا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع سكودا أوكتافيا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
57,رينو لوجان,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
58,رينو لوجان,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع فورد فوكس.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
59,سكودا أوكتافيا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
60,نيسان صني,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
61,رينو لوجان,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع شيفروليه أوبترا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
62,رينو لوجان,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع رينو لوجان.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
63,بيجو 301,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
64,تويوتا كورولا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
65,شيفروليه أوبترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع بيجو 301.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
66,فورد فوكس,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع شيفروليه أوبترا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
67,سكودا أوكتافيا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
68,فورد فوكس,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع كيا سيراتو.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
69,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع هيونداي إلنترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
70,تويوتا كورولا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
71,نيسان صني,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع سكودا أوكتافيا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
72,كيا سيراتو,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع كيا سيراتو.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
73,بيجو 301,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع تويوتا كورولا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
74,ميتسوبيشي لانسر,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع شيفروليه أوبترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
75,تويوتا كورولا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
76,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع هيونداي إلنترا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
77,شيفروليه أوبترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع هيونداي إلنترا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
78,بيجو 301,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع هيونداي إلنترا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
79,ميتسوبيشي لانسر,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع رينو لوجان.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
80,سكودا أوكتافيا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع نيسان صني.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
81,بيجو 301,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع كيا سيراتو.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
82,كيا سيراتو,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع رينو لوجان.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
83,كيا سيراتو,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع نيسان صني.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
84,بيجو 301,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع فورد فوكس.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
85,ميتسوبيشي لانسر,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع سكودا أوكتافيا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
86,هيونداي إلنترا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع نيسان صني.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
87,سكودا أوكتافيا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع نيسان صني.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
88,سكودا أوكتافيا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
89,رينو لوجان,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع سكودا أوكتافيا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
90,كيا سيراتو,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع هيونداي إلنترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
91,رينو لوجان,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع رينو لوجان.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
92,رينو لوجان,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع شيفروليه أوبترا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
93,نيسان صني,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع هيونداي إلنترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
94,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع تويوتا كورولا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
95,نيسان صني,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
96,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
97,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع تويوتا كورولا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
98,هيونداي إلنترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع ميتسوبيشي لانسر.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
99,ميتسوبيشي لانسر,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع كيا سيراتو.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
100,تويوتا كورولا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع رينو لوجان.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
101,شيفروليه أوبترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع شيفروليه أوبترا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
102,سكودا أوكتافيا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
103,بيجو 301,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع فورد فوكس.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
104,نيسان صني,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
105,هيونداي إلنترا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
106,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع تويوتا كورولا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
107,شيفروليه أوبترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع ميتسوبيشي لانسر.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
108,ميتسوبيشي لانسر,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع بيجو 301.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
109,فورد فوكس,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
